time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,120.0
7,0.0,0,0,0,0,120.0
8,0.0,0,0,0,0,120.0
9,0.0,0,0,0,0,119.7
10,0.0,0,0,0,0,119.4
11,0.0,0,0,0,0,118.8
12,0.0,0,0,0,0,118.2
13,0.0,0,0,0,0,117.6
14,94.0404,0,1,0,0,117.1468
15,94.0404,0,1,0,0,116.5468
16,94.0404,0,1,0,0,115.9468
17,94.0404,0,1,0,0,115.3468
18,94.0404,0,1,0,0,114.7468
19,94.0404,0,1,0,0,114.1468
20,94.0404,0,1,0,0,113.6936
21,182.7047,0,2,0,0,113.5817
22,182.7047,0,2,0,0,113.2817
23,182.7047,0,2,0,0,112.9817
24,182.7047,0,2,0,0,112.0817
25,182.7047,0,2,0,0,111.1817
26,279.8023,0,3,0,0,110.3476
27,279.8023,0,3,0,0,109.4476
28,279.8023,0,3,0,0,108.5476
29,373.8427,0,4,0,0,107.8603
30,373.8427,0,4,0,0,107.2603
31,373.8427,0,4,0,0,106.6603
32,373.8427,0,4,0,0,106.2484
33,373.8427,0,4,0,0,105.9484
34,373.8427,0,4,0,0,105.6484
35,373.8427,0,4,0,0,105.4952
36,373.8427,0,4,0,0,105.1952
37,373.8427,0,4,0,0,104.8952
38,470.9404,0,5,0,0,104.661
39,470.9404,0,5,0,0,104.361
40,470.9404,0,5,0,0,104.061
41,470.9404,0,5,0,0,103.5269
42,470.9404,0,5,0,0,103.2269
43,470.9404,0,5,0,0,102.9269
44,470.9404,0,5,0,0,102.3269
45,470.9404,0,5,0,0,101.7269
46,470.9404,0,5,0,0,101.1269
47,470.9404,0,5,0,0,100.5269
48,470.9404,0,5,0,0,99.9269
49,561.3832,0,6,0,0,99.3745
50,561.3832,0,6,0,0,98.4745
51,561.3832,0,6,0,0,97.5745
52,561.3832,0,6,0,0,96.6745
53,561.3832,0,6,0,0,95.7745
54,561.3832,0,6,0,0,94.8745
55,648.8571,0,7,0,0,94.1325
56,648.8571,0,7,0,0,93.2325
57,648.8571,0,7,0,0,92.3325
58,648.8571,0,7,0,0,91.1801
59,648.8571,0,7,0,0,89.6801
60,737.5214,1,8,0,0,88.3682
61,737.5214,1,8,0,0,86.8682
62,737.5214,2,8,0,0,85.3682
63,737.5214,2,8,0,0,83.8682
64,737.5214,2,8,0,0,82.3682
65,737.5214,2,8,0,0,80.8682
66,829.082,2,9,0,0,79.4218
67,919.6478,2,10,0,0,78.1683
68,919.6478,2,10,0,0,76.6683
69,1007.1217,2,11,0,0,75.3263
70,1103.2012,2,12,0,0,73.9528
71,1103.2012,2,12,0,0,72.6409
72,1103.2012,2,12,0,0,71.1409
73,1103.2012,2,12,0,0,69.7674
74,1197.8988,1,13,0,0,68.3868
75,1197.8988,0,13,0,0,66.8868
76,1197.8988,1,13,0,0,65.4754
77,1197.8988,0,13,0,0,64.0412
78,1197.8988,0,13,0,0,62.8412
79,1197.8988,0,13,0,0,61.6412
80,1197.8988,0,13,0,0,60.4412
81,1289.7029,0,14,0,0,59.6672
82,1383.5433,0,15,0,0,58.914
83,1472.709,0,16,0,0,58.1026
84,1472.709,0,16,0,0,57.2026
85,1472.709,0,16,0,0,56.3026
86,1472.709,0,16,0,0,55.4026
87,1472.709,0,16,0,0,54.5026
88,1472.709,0,16,0,0,53.7494
89,1472.709,0,16,0,0,53.4174
90,1472.709,0,16,0,0,52.8174
91,1472.709,0,16,0,0,51.9174
92,1472.709,0,16,0,0,51.106
93,1472.709,0,16,0,0,50.206
94,1568.7138,0,17,0,0,49.3743
95,1568.7138,0,17,0,0,48.4743
96,1568.7138,0,17,0,0,47.2743
97,1568.7138,1,17,0,0,45.7743
98,1568.7138,1,17,0,0,44.6112
99,1568.7138,0,17,0,0,44.6112
100,1568.7138,0,17,0,0,44.6112
101,1568.7138,0,17,0,0,44.8798
102,1568.7138,0,17,0,0,46.3798
103,1660.9179,0,18,0,0,48.1478
104,1660.9179,0,18,0,0,49.6478
105,1751.3607,0,19,0,0,51.1954
106,1751.3607,0,19,0,0,52.6954
107,1751.3607,0,19,0,0,54.1954
108,1751.3607,0,19,0,0,55.6954
