time,station_id,node_id,queue_length,occupied_piles,waiting_vehicles,charging_slots
0,0,26,0,0,[],"[None, None]"
0,1,27,0,0,[],"[None, None]"
1,0,26,0,0,[],"[None, None]"
1,1,27,0,0,[],"[None, None]"
2,0,26,0,0,[],"[None, None]"
2,1,27,0,0,[],"[None, None]"
3,0,26,0,0,[],"[None, None]"
3,1,27,0,0,[],"[None, None]"
4,0,26,0,0,[],"[None, None]"
4,1,27,0,0,[],"[None, None]"
5,0,26,0,0,[],"[None, None]"
5,1,27,0,0,[],"[None, None]"
6,0,26,0,0,[],"[None, None]"
6,1,27,0,0,[],"[None, None]"
7,0,26,0,0,[],"[None, None]"
7,1,27,0,0,[],"[None, None]"
8,0,26,0,0,[],"[None, None]"
8,1,27,0,0,[],"[None, None]"
9,0,26,0,0,[],"[None, None]"
9,1,27,0,0,[],"[None, None]"
10,0,26,0,0,[],"[None, None]"
10,1,27,0,0,[],"[None, None]"
11,0,26,0,0,[],"[None, None]"
11,1,27,0,0,[],"[None, None]"
12,0,26,0,0,[],"[None, None]"
12,1,27,0,0,[],"[None, None]"
13,0,26,0,0,[],"[None, None]"
13,1,27,0,0,[],"[None, None]"
14,0,26,0,0,[],"[None, None]"
14,1,27,0,0,[],"[None, None]"
15,0,26,0,0,[],"[None, None]"
15,1,27,0,0,[],"[None, None]"
16,0,26,0,0,[],"[None, None]"
16,1,27,0,0,[],"[None, None]"
17,0,26,0,0,[],"[None, None]"
17,1,27,0,0,[],"[None, None]"
18,0,26,0,0,[],"[None, None]"
18,1,27,0,0,[],"[None, None]"
19,0,26,0,0,[],"[None, None]"
19,1,27,0,0,[],"[None, None]"
20,0,26,0,0,[],"[None, None]"
20,1,27,0,0,[],"[None, None]"
21,0,26,0,0,[],"[None, None]"
21,1,27,0,0,[],"[None, None]"
22,0,26,0,0,[],"[None, None]"
22,1,27,0,0,[],"[None, None]"
23,0,26,0,0,[],"[None, None]"
23,1,27,0,0,[],"[None, None]"
24,0,26,0,0,[],"[None, None]"
24,1,27,0,0,[],"[None, None]"
25,0,26,0,0,[],"[None, None]"
25,1,27,0,0,[],"[None, None]"
26,0,26,0,0,[],"[None, None]"
26,1,27,0,0,[],"[None, None]"
27,0,26,0,0,[],"[None, None]"
27,1,27,0,0,[],"[None, None]"
28,0,26,0,0,[],"[None, None]"
28,1,27,0,0,[],"[None, None]"
29,0,26,0,0,[],"[None, None]"
29,1,27,0,0,[],"[None, None]"
30,0,26,0,0,[],"[None, None]"
30,1,27,0,0,[],"[None, None]"
31,0,26,0,0,[],"[None, None]"
31,1,27,0,0,[],"[None, None]"
32,0,26,0,0,[],"[None, None]"
32,1,27,0,0,[],"[None, None]"
33,0,26,0,0,[],"[None, None]"
33,1,27,0,0,[],"[None, None]"
34,0,26,0,0,[],"[None, None]"
34,1,27,0,0,[],"[None, None]"
35,0,26,0,0,[],"[None, None]"
35,1,27,0,0,[],"[None, None]"
36,0,26,0,0,[],"[None, None]"
36,1,27,0,0,[],"[None, None]"
37,0,26,0,0,[],"[None, None]"
37,1,27,0,0,[],"[None, None]"
38,0,26,0,0,[],"[None, None]"
38,1,27,0,0,[],"[None, None]"
39,0,26,0,0,[],"[None, None]"
39,1,27,0,0,[],"[None, None]"
40,0,26,0,0,[],"[None, None]"
40,1,27,0,0,[],"[None, None]"
41,0,26,0,0,[],"[None, None]"
41,1,27,0,0,[],"[None, None]"
42,0,26,0,0,[],"[None, None]"
42,1,27,0,0,[],"[None, None]"
43,0,26,0,0,[],"[None, None]"
43,1,27,0,0,[],"[None, None]"
44,0,26,0,0,[],"[None, None]"
44,1,27,0,0,[],"[None, None]"
45,0,26,0,0,[],"[None, None]"
45,1,27,0,0,[],"[None, None]"
46,0,26,0,0,[],"[None, None]"
46,1,27,0,0,[],"[None, None]"
47,0,26,0,0,[],"[None, None]"
47,1,27,0,0,[],"[None, None]"
48,0,26,0,0,[],"[None, None]"
48,1,27,0,0,[],"[None, None]"
49,0,26,0,0,[],"[None, None]"
49,1,27,0,0,[],"[None, None]"
50,0,26,0,0,[],"[None, None]"
50,1,27,0,0,[],"[None, None]"
51,0,26,0,0,[],"[None, None]"
51,1,27,0,0,[],"[None, None]"
52,0,26,0,0,[],"[None, None]"
52,1,27,0,0,[],"[None, None]"
53,0,26,0,0,[],"[None, None]"
53,1,27,0,0,[],"[None, None]"
54,0,26,0,0,[],"[None, None]"
54,1,27,0,0,[],"[None, None]"
55,0,26,0,0,[],"[None, None]"
55,1,27,0,0,[],"[None, None]"
56,0,26,0,0,[],"[None, None]"
56,1,27,0,0,[],"[None, None]"
57,0,26,0,0,[],"[None, None]"
57,1,27,0,0,[],"[None, None]"
58,0,26,0,0,[],"[None, None]"
58,1,27,0,0,[],"[None, None]"
59,0,26,0,0,[],"[None, None]"
59,1,27,0,0,[],"[None, None]"
60,0,26,0,0,[],"[None, None]"
60,1,27,0,0,[],"[None, None]"
61,0,26,0,0,[],"[None, None]"
61,1,27,0,0,[],"[None, None]"
62,0,26,0,0,[],"[None, None]"
62,1,27,0,0,[],"[None, None]"
63,0,26,0,0,[],"[None, None]"
63,1,27,0,0,[],"[None, None]"
64,0,26,0,0,[],"[None, None]"
64,1,27,0,0,[],"[None, None]"
65,0,26,0,0,[],"[None, None]"
65,1,27,0,0,[],"[None, None]"
66,0,26,0,0,[],"[None, None]"
66,1,27,0,0,[],"[None, None]"
67,0,26,0,0,[],"[None, None]"
67,1,27,0,0,[],"[None, None]"
68,0,26,0,0,[],"[None, None]"
68,1,27,0,0,[],"[None, None]"
69,0,26,0,0,[],"[None, None]"
69,1,27,0,0,[],"[None, None]"
70,0,26,0,0,[],"[None, None]"
70,1,27,0,0,[],"[None, None]"
71,0,26,0,0,[],"[None, None]"
71,1,27,0,0,[],"[None, None]"
72,0,26,0,0,[],"[None, None]"
72,1,27,0,0,[],"[None, None]"
73,0,26,0,0,[],"[None, None]"
73,1,27,0,0,[],"[None, None]"
74,0,26,0,0,[],"[None, None]"
74,1,27,0,0,[],"[None, None]"
75,0,26,0,0,[],"[None, None]"
75,1,27,0,0,[],"[None, None]"
76,0,26,0,0,[],"[None, None]"
76,1,27,0,0,[],"[None, None]"
77,0,26,0,0,[],"[None, None]"
77,1,27,0,0,[],"[None, None]"
78,0,26,0,0,[],"[None, None]"
78,1,27,0,0,[],"[None, None]"
79,0,26,0,0,[],"[None, None]"
79,1,27,0,0,[],"[None, None]"
80,0,26,0,0,[],"[None, None]"
80,1,27,0,0,[],"[None, None]"
81,0,26,0,0,[],"[None, None]"
81,1,27,0,0,[],"[None, None]"
82,0,26,0,0,[],"[None, None]"
82,1,27,0,0,[],"[None, None]"
83,0,26,0,0,[],"[None, None]"
83,1,27,0,0,[],"[None, None]"
84,0,26,0,0,[],"[None, None]"
84,1,27,0,0,[],"[None, None]"
85,0,26,0,0,[],"[None, None]"
85,1,27,0,0,[],"[None, None]"
86,0,26,0,0,[],"[None, None]"
86,1,27,0,0,[],"[None, None]"
87,0,26,0,0,[],"[None, None]"
87,1,27,0,0,[],"[None, None]"
88,0,26,0,0,[],"[None, None]"
88,1,27,0,0,[],"[None, None]"
89,0,26,0,0,[],"[None, None]"
