time,event_type,vehicle_id,node,battery,status,assigned_task,task_load,target_station,total_distance,total_score
0,step,0,0,120.0,idle,,0.0,,0.0,0.0
0,step,1,0,120.0,idle,,0.0,,0.0,0.0
1,step,0,0,120.0,idle,,0.0,,0.0,0.0
1,step,1,0,120.0,idle,,0.0,,0.0,0.0
2,step,0,0,120.0,idle,,0.0,,0.0,0.0
2,step,1,0,120.0,idle,,0.0,,0.0,0.0
3,step,0,0,120.0,idle,,0.0,,0.0,0.0
3,step,1,0,120.0,idle,,0.0,,0.0,0.0
4,step,0,0,120.0,idle,,0.0,,0.0,0.0
4,step,1,0,120.0,idle,,0.0,,0.0,0.0
5,step,0,0,120.0,idle,,0.0,,0.0,0.0
5,step,1,0,120.0,idle,,0.0,,0.0,0.0
6,step,0,0,120.0,idle,,0.0,,0.0,0.0
6,step,1,0,120.0,idle,,0.0,,0.0,0.0
7,step,0,0,120.0,idle,,0.0,,0.0,0.0
7,step,1,0,120.0,idle,,0.0,,0.0,0.0
8,step,0,0,120.0,idle,,0.0,,0.0,0.0
8,step,1,0,120.0,idle,,0.0,,0.0,0.0
9,step,0,0,120.0,idle,,0.0,,0.0,0.0
9,step,1,0,120.0,idle,,0.0,,0.0,0.0
10,step,0,0,120.0,idle,,0.0,,0.0,0.0
10,step,1,0,120.0,idle,,0.0,,0.0,0.0
11,step,0,0,120.0,idle,,0.0,,0.0,0.0
11,step,1,0,120.0,idle,,0.0,,0.0,0.0
12,step,0,0,120.0,idle,,0.0,,0.0,0.0
12,step,1,0,120.0,idle,,0.0,,0.0,0.0
13,step,0,0,120.0,idle,,0.0,,0.0,0.0
13,step,1,0,120.0,idle,,0.0,,0.0,0.0
14,step,0,0,120.0,idle,,0.0,,0.0,0.0
14,step,1,0,120.0,idle,,0.0,,0.0,0.0
15,step,0,0,120.0,idle,,0.0,,0.0,0.0
15,step,1,0,120.0,idle,,0.0,,0.0,0.0
16,step,0,0,120.0,idle,,0.0,,0.0,0.0
16,step,1,0,120.0,idle,,0.0,,0.0,0.0
17,step,0,0,120.0,idle,,0.0,,0.0,0.0
17,step,1,0,120.0,idle,,0.0,,0.0,0.0
18,step,0,0,120.0,idle,,0.0,,0.0,0.0
18,step,1,0,120.0,idle,,0.0,,0.0,0.0
19,step,0,0,120.0,idle,,0.0,,0.0,0.0
19,step,1,0,120.0,idle,,0.0,,0.0,0.0
20,step,0,0,120.0,idle,,0.0,,0.0,0.0
20,step,1,0,120.0,idle,,0.0,,0.0,0.0
21,step,0,0,120.0,idle,,0.0,,0.0,0.0
21,step,1,0,120.0,idle,,0.0,,0.0,0.0
22,step,0,0,120.0,idle,,0.0,,0.0,0.0
22,step,1,0,120.0,idle,,0.0,,0.0,0.0
23,step,0,0,120.0,idle,,0.0,,0.0,0.0
23,step,1,0,120.0,idle,,0.0,,0.0,0.0
24,step,0,0,120.0,idle,,0.0,,0.0,0.0
24,step,1,0,120.0,idle,,0.0,,0.0,0.0
25,step,0,0,120.0,idle,,0.0,,0.0,0.0
25,step,1,0,120.0,idle,,0.0,,0.0,0.0
26,step,0,0,120.0,idle,,0.0,,0.0,0.0
26,step,1,0,120.0,idle,,0.0,,0.0,0.0
27,step,0,0,120.0,idle,,0.0,,0.0,0.0
27,step,1,0,120.0,idle,,0.0,,0.0,0.0
28,step,0,0,120.0,idle,,0.0,,0.0,0.0
28,step,1,0,120.0,idle,,0.0,,0.0,0.0
29,step,0,0,120.0,idle,,0.0,,0.0,0.0
29,step,1,0,120.0,idle,,0.0,,0.0,0.0
30,step,0,0,120.0,idle,,0.0,,0.0,0.0
30,step,1,0,120.0,idle,,0.0,,0.0,0.0
31,step,0,0,120.0,idle,,0.0,,0.0,0.0
31,step,1,0,120.0,idle,,0.0,,0.0,0.0
32,step,0,0,120.0,idle,,0.0,,0.0,0.0
32,step,1,0,120.0,idle,,0.0,,0.0,0.0
33,step,0,0,120.0,idle,,0.0,,0.0,0.0
33,step,1,0,120.0,idle,,0.0,,0.0,0.0
34,step,0,0,120.0,idle,,0.0,,0.0,0.0
34,step,1,0,120.0,idle,,0.0,,0.0,0.0
35,step,0,0,120.0,idle,,0.0,,0.0,0.0
35,step,1,0,120.0,idle,,0.0,,0.0,0.0
36,step,0,0,120.0,idle,,0.0,,0.0,0.0
36,step,1,0,120.0,idle,,0.0,,0.0,0.0
37,step,0,0,120.0,idle,,0.0,,0.0,0.0
