time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,119.85
3,0.0,0,0,0,0,119.7
4,0.0,0,0,0,0,119.55
5,0.0,0,0,0,0,119.4
6,0.0,0,0,0,0,119.25
7,0.0,0,0,0,0,119.1
8,0.0,0,0,0,0,118.95
9,0.0,0,0,0,0,118.8
10,0.0,0,0,0,0,118.65
11,0.0,0,0,0,0,118.5
12,0.0,0,0,0,0,118.2
13,87.4205,0,1,0,0,117.9701
14,87.4205,0,1,0,0,117.5201
15,87.4205,0,1,0,0,116.7701
16,87.4205,0,1,0,0,116.0201
17,87.4205,0,1,0,0,115.2701
18,87.4205,0,1,0,0,114.5201
19,87.4205,0,1,0,0,113.7701
20,87.4205,0,1,0,0,113.0201
21,177.3269,0,2,0,0,112.3878
22,177.3269,0,2,0,0,111.6378
23,177.3269,0,2,0,0,110.8878
24,265.5039,0,3,0,0,109.8507
25,265.5039,0,3,0,0,108.8707
26,352.8406,0,4,0,0,107.8769
27,439.404,0,5,0,0,106.9374
28,534.846,0,6,0,0,106.0111
29,534.846,0,6,0,0,104.9611
30,534.846,0,6,0,0,103.9111
31,534.846,0,6,0,0,102.9788
32,534.846,0,6,0,0,102.0788
33,534.846,0,6,0,0,101.3025
34,623.0966,0,7,0,0,100.5776
35,712.4961,0,8,0,0,99.8737
36,712.4961,0,8,0,0,99.2737
37,712.4961,0,8,0,0,98.6737
38,712.4961,0,8,0,0,97.9798
39,810.6483,0,9,0,0,97.4052
40,810.6483,0,9,0,0,96.9157
41,810.6483,0,9,0,0,96.1911
42,810.6483,0,9,0,0,95.5911
43,810.6483,0,9,0,0,94.9911
44,810.6483,0,9,0,0,94.2411
45,810.6483,0,9,0,0,93.5494
46,810.6483,0,9,0,0,92.9494
47,810.6483,0,9,0,0,92.3494
48,810.6483,0,9,0,0,91.5994
49,810.6483,0,9,0,0,90.8494
50,899.895,0,10,0,0,90.1072
51,899.895,0,10,0,0,89.2072
52,899.895,0,10,0,0,88.1572
53,1078.0117,0,12,0,0,87.0933
54,1166.9343,0,13,0,0,85.8804
55,1166.9343,0,13,0,0,84.3804
56,1166.9343,1,13,0,0,82.8804
57,1262.7838,1,14,0,0,81.3887
58,1262.7838,1,14,0,0,79.8887
59,1441.9414,1,16,0,0,78.5149
