time,event_type,task_id,status,release_time,deadline,origin_node,weight,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
2,released,14,pending,2,58,9694533625,6.62,,,0.0,0,
2,assigned,14,assigned,2,58,9694533625,6.62,0,2,0.0,0,
12,released,1,pending,12,82,1199440571,3.47,,,0.0,0,
12,assigned,1,assigned,12,82,1199440571,3.47,1,12,0.0,0,
13,completed,14,completed,2,58,9694533625,6.62,0,2,17.2991,11,13
14,released,0,pending,14,62,13440119166,11.89,,,0.0,0,
14,assigned,0,assigned,14,62,13440119166,11.89,2,14,0.0,0,
15,released,2,pending,15,91,7572059876,7.07,,,0.0,0,
15,released,11,pending,15,84,2212639899,15.43,,,0.0,0,
15,assigned,2,assigned,15,91,7572059876,7.07,3,15,0.0,0,
15,assigned,11,assigned,15,84,2212639899,15.43,4,15,0.0,0,
21,completed,1,completed,12,82,1199440571,3.47,1,12,13.8227,9,21
24,released,4,pending,24,80,8367267907,6.57,,,0.0,0,
24,released,10,pending,24,55,9161991562,2.68,,,0.0,0,
24,assigned,4,assigned,24,80,8367267907,6.57,5,24,0.0,0,
24,assigned,10,assigned,24,55,9161991562,2.68,6,24,0.0,0,
24,completed,0,completed,14,62,13440119166,11.89,2,14,16.3716,10,24
26,released,7,pending,26,81,12918067210,27.42,,,0.0,0,
26,assigned,7,assigned,26,81,12918067210,27.42,0,26,0.0,0,
26,completed,2,completed,15,91,7572059876,7.07,3,15,17.4388,11,26
27,completed,11,completed,15,84,2212639899,15.43,4,15,18.3944,12,27
28,completed,4,completed,24,80,8367267907,6.57,5,24,6.2633,4,28
34,completed,10,completed,24,55,9161991562,2.68,6,24,16.249,10,34
35,completed,7,completed,26,81,12918067210,27.42,0,26,14.6675,9,35
38,released,18,pending,38,69,8129357437,21.02,,,0.0,0,
38,assigned,18,assigned,38,69,8129357437,21.02,1,38,0.0,0,
39,completed,18,completed,38,69,8129357437,21.02,1,38,2.7463,1,39
41,released,3,pending,41,67,6380728345,15.13,,,0.0,0,
41,released,12,pending,41,99,12917779119,7.03,,,0.0,0,
41,assigned,12,assigned,41,99,12917779119,7.03,2,41,0.0,0,
41,assigned,3,assigned,41,67,6380728345,15.13,3,41,0.0,0,
44,released,19,pending,44,91,13428728668,19.67,,,0.0,0,
44,assigned,19,assigned,44,91,13428728668,19.67,1,44,0.0,0,
46,released,8,pending,46,78,9177508328,8.49,,,0.0,0,
46,assigned,8,assigned,46,78,9177508328,8.49,0,46,0.0,0,
48,released,6,pending,48,74,9694533539,8.74,,,0.0,0,
48,assigned,6,assigned,48,74,9694533539,8.74,4,48,0.0,0,
50,completed,12,completed,41,99,12917779119,7.03,2,41,14.9222,9,50
51,released,13,pending,51,85,8543592224,2.87,,,0.0,0,
51,assigned,13,assigned,51,85,8543592224,2.87,5,51,0.0,0,
52,released,9,pending,52,81,5549394281,18.98,,,0.0,0,
52,assigned,9,assigned,52,81,5549394281,18.98,6,52,0.0,0,
53,released,5,pending,53,103,2324465100,15.07,,,0.0,0,
53,assigned,5,assigned,53,103,2324465100,15.07,7,53,0.0,0,
53,completed,8,completed,46,78,9177508328,8.49,0,46,11.3888,7,53
53,completed,3,completed,41,67,6380728345,15.13,3,41,18.75,12,53
54,released,17,pending,54,106,2956316885,5.59,,,0.0,0,
54,assigned,17,assigned,54,106,2956316885,5.59,8,54,0.0,0,
54,completed,19,completed,44,91,13428728668,19.67,1,44,15.1291,10,54
55,released,15,pending,55,117,6364910330,22.14,,,0.0,0,
55,assigned,15,assigned,55,117,6364910330,22.14,9,55,0.0,0,
56,released,16,pending,56,109,4823428803,17.16,,,0.0,0,
57,completed,17,completed,54,106,2956316885,5.59,8,54,5.9174,3,57
59,completed,6,completed,48,74,9694533539,8.74,4,48,17.3613,11,59
59,completed,9,completed,52,81,5549394281,18.98,6,52,11.3761,7,59
