time,event_type,task_id,status,release_time,deadline,origin_node,weight,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
4,released,30,pending,4,78,6590518261,13.24,,,0.0,0,
4,assigned,30,assigned,4,78,6590518261,13.24,0,4,0.0,0,
11,released,92,pending,11,80,9741101584,29.83,,,0.0,0,
11,assigned,92,assigned,11,80,9741101584,29.83,1,11,0.0,0,
13,completed,30,completed,4,78,6590518261,13.24,0,4,14.992,9,13
15,released,111,pending,15,45,2476098404,5.76,,,0.0,0,
15,assigned,111,assigned,15,45,2476098404,5.76,2,15,0.0,0,
18,completed,92,completed,11,80,9741101584,29.83,1,11,11.1215,7,18
24,completed,111,completed,15,45,2476098404,5.76,2,15,13.7384,9,24
32,released,73,pending,32,96,1931395937,12.35,,,0.0,0,
34,released,65,pending,34,112,5227105738,1.85,,,0.0,0,
34,assigned,65,assigned,34,112,5227105738,1.85,0,34,0.0,0,
35,released,96,pending,35,86,9234726736,14.94,,,0.0,0,
35,released,109,pending,35,67,12113190958,10.06,,,0.0,0,
35,assigned,109,assigned,35,67,12113190958,10.06,1,35,0.0,0,
39,released,36,pending,39,74,6027548478,4.78,,,0.0,0,
39,assigned,36,assigned,39,74,6027548478,4.78,2,39,0.0,0,
41,completed,65,completed,34,112,5227105738,1.85,0,34,11.024,7,41
43,completed,109,completed,35,67,12113190958,10.06,1,35,12.4985,8,43
44,completed,36,completed,39,74,6027548478,4.78,2,39,8.8056,5,44
45,released,47,pending,45,84,2964891622,26.36,,,0.0,0,
45,assigned,47,assigned,45,84,2964891622,26.36,3,45,0.0,0,
46,released,74,pending,46,102,6742517149,11.13,,,0.0,0,
46,assigned,74,assigned,46,102,6742517149,11.13,4,46,0.0,0,
47,released,34,pending,47,94,5227196418,29.21,,,0.0,0,
47,assigned,34,assigned,47,94,5227196418,29.21,5,47,0.0,0,
50,completed,74,completed,46,102,6742517149,11.13,4,46,6.2409,4,50
55,completed,47,completed,45,84,2964891622,26.36,3,45,15.2278,10,55
55,completed,34,completed,47,94,5227196418,29.21,5,47,12.3479,8,55
68,released,21,pending,68,142,3624285749,14.87,,,0.0,0,
68,assigned,21,assigned,68,142,3624285749,14.87,0,68,0.0,0,
70,released,59,pending,70,126,6342573133,18.81,,,0.0,0,
70,assigned,59,assigned,70,126,6342573133,18.81,1,70,0.0,0,
75,released,17,pending,75,130,4787373317,15.2,,,0.0,0,
75,assigned,17,assigned,75,130,4787373317,15.2,2,75,0.0,0,
76,completed,59,completed,70,126,6342573133,18.81,1,70,10.2468,6,76
77,released,32,pending,77,116,12089407769,25.76,,,0.0,0,
77,assigned,32,assigned,77,116,12089407769,25.76,3,77,0.0,0,
77,completed,21,completed,68,142,3624285749,14.87,0,68,14.4698,9,77
78,released,87,pending,78,146,5401307505,15.22,,,0.0,0,
78,assigned,87,assigned,78,146,5401307505,15.22,4,78,0.0,0,
82,released,82,pending,82,128,1183426261,20.99,,,0.0,0,
82,assigned,82,assigned,82,128,1183426261,20.99,5,82,0.0,0,
82,completed,87,completed,78,146,5401307505,15.22,4,78,6.3048,4,82
83,released,43,pending,83,131,4553926061,21.14,,,0.0,0,
83,assigned,43,assigned,83,131,4553926061,21.14,6,83,0.0,0,
83,completed,17,completed,75,130,4787373317,15.2,2,75,13.0858,8,83
85,completed,32,completed,77,116,12089407769,25.76,3,77,12.5099,8,85
86,completed,82,completed,82,128,1183426261,20.99,5,82,7.0876,4,86
87,released,39,pending,87,137,11813677195,25.03,,,0.0,0,
87,expired,96,expired,35,86,9234726736,14.94,,,0.0,0,87
87,assigned,39,assigned,87,137,11813677195,25.03,1,87,0.0,0,
89,released,4,pending,89,169,3909337667,5.9,,,0.0,0,
89,assigned,4,assigned,89,169,3909337667,5.9,0,89,0.0,0,
90,released,33,pending,90,138,4547616898,15.38,,,0.0,0,
90,assigned,33,assigned,90,138,4547616898,15.38,4,90,0.0,0,
91,completed,43,completed,83,131,4553926061,21.14,6,83,12.5261,8,91
92,released,0,pending,92,124,12753900120,10.7,,,0.0,0,
92,assigned,0,assigned,92,124,12753900120,10.7,5,92,0.0,0,
94,completed,39,completed,87,137,11813677195,25.03,1,87,10.9255,7,94
94,completed,33,completed,90,138,4547616898,15.38,4,90,6.3327,4,94
95,completed,4,completed,89,169,3909337667,5.9,0,89,10.3977,6,95
96,released,68,pending,96,169,12741962735,10.36,,,0.0,0,
96,assigned,68,assigned,96,169,12741962735,10.36,2,96,0.0,0,
97,expired,73,expired,32,96,1931395937,12.35,,,0.0,0,97
98,completed,0,completed,92,124,12753900120,10.7,5,92,9.6009,6,98
101,released,1,pending,101,157,13430926228,6.31,,,0.0,0,
101,assigned,1,assigned,101,157,13430926228,6.31,3,101,0.0,0,
102,released,5,pending,102,174,9123981081,17.69,,,0.0,0,
102,completed,68,completed,96,169,12741962735,10.36,2,96,10.4051,6,102
103,released,6,pending,103,179,13430920000,7.27,,,0.0,0,
103,released,15,pending,103,165,6854581437,16.49,,,0.0,0,
103,released,80,pending,103,129,1682359144,4.64,,,0.0,0,
103,assigned,15,assigned,103,165,6854581437,16.49,1,103,0.0,0,
103,assigned,6,assigned,103,179,13430920000,7.27,4,103,0.0,0,
103,assigned,80,assigned,103,129,1682359144,4.64,6,103,0.0,0,
104,released,19,pending,104,179,10057722423,23.97,,,0.0,0,
104,released,53,pending,104,130,3359304851,12.52,,,0.0,0,
104,assigned,53,assigned,104,130,3359304851,12.52,7,104,0.0,0,
104,assigned,19,assigned,104,179,10057722423,23.97,8,104,0.0,0,
104,completed,1,completed,101,157,13430926228,6.31,3,101,5.9127,3,104
106,completed,15,completed,103,165,6854581437,16.49,1,103,4.8579,3,106
106,completed,6,completed,103,179,13430920000,7.27,4,103,5.9182,3,106
108,released,75,pending,108,163,12337345108,26.68,,,0.0,0,
108,assigned,75,assigned,108,163,12337345108,26.68,5,108,0.0,0,
114,completed,53,completed,104,130,3359304851,12.52,7,104,16.2685,10,114
115,completed,75,completed,108,163,12337345108,26.68,5,108,10.7077,7,115
115,completed,80,completed,103,129,1682359144,4.64,6,103,18.3095,12,115
117,released,57,pending,117,187,12753491459,8.99,,,0.0,0,
117,released,93,pending,117,190,11073090163,2.31,,,0.0,0,
117,assigned,57,assigned,117,187,12753491459,8.99,2,117,0.0,0,
117,assigned,93,assigned,117,190,11073090163,2.31,3,117,0.0,0,
118,released,88,pending,118,172,7793684219,24.55,,,0.0,0,
118,assigned,88,assigned,118,172,7793684219,24.55,4,118,0.0,0,
119,completed,19,completed,104,179,10057722423,23.97,8,104,22.561,15,119
123,completed,57,completed,117,187,12753491459,8.99,2,117,9.7589,6,123
124,released,105,pending,124,169,13386472296,4.15,,,0.0,0,
124,assigned,105,assigned,124,169,13386472296,4.15,0,124,0.0,0,
124,completed,88,completed,118,172,7793684219,24.55,4,118,9.6624,6,124
127,released,18,pending,127,193,8589262764,16.76,,,0.0,0,
127,assigned,18,assigned,127,193,8589262764,16.76,1,127,0.0,0,
129,completed,105,completed,124,169,13386472296,4.15,0,124,7.9195,5,129
132,completed,93,completed,117,190,11073090163,2.31,3,117,22.5024,15,132
133,released,101,pending,133,185,8866556085,20.66,,,0.0,0,
133,assigned,101,assigned,133,185,8866556085,20.66,4,133,0.0,0,
134,released,69,pending,134,186,8523114188,4.85,,,0.0,0,
134,assigned,69,assigned,134,186,8523114188,4.85,5,134,0.0,0,
138,released,23,pending,138,208,10654257336,20.72,,,0.0,0,
138,released,108,pending,138,177,11846749214,12.79,,,0.0,0,
138,assigned,108,assigned,138,177,11846749214,12.79,0,138,0.0,0,
138,assigned,23,assigned,138,208,10654257336,20.72,6,138,0.0,0,
139,completed,69,completed,134,186,8523114188,4.85,5,134,7.5045,5,139
140,completed,101,completed,133,185,8866556085,20.66,4,133,10.9528,7,140
143,released,55,pending,143,181,6364910501,16.62,,,0.0,0,
143,assigned,55,assigned,143,181,6364910501,16.62,7,143,0.0,0,
144,released,11,pending,144,199,4628916388,15.38,,,0.0,0,
144,assigned,11,assigned,144,199,4628916388,15.38,8,144,0.0,0,
144,completed,108,completed,138,177,11846749214,12.79,0,138,10.0311,6,144
145,completed,18,completed,127,193,8589262764,16.76,1,127,28.2569,18,145
147,released,78,pending,147,185,6579568248,28.41,,,0.0,0,
