time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,119.7
1,0.0,0,0,0,0,119.4
2,0.0,0,0,0,0,119.1
3,0.0,0,0,0,0,118.8
4,95.5172,0,1,0,0,118.7724
5,95.5172,0,1,0,0,118.4724
6,95.5172,0,1,0,0,118.1724
7,95.5172,0,1,0,0,117.8724
8,95.5172,0,1,0,0,117.2724
9,95.5172,0,1,0,0,116.9448
10,95.5172,0,1,0,0,116.6448
11,191.4182,0,2,0,0,115.7784
12,191.4182,0,2,0,0,114.8784
13,191.4182,0,2,0,0,113.9784
14,191.4182,0,2,0,0,113.0784
15,191.4182,0,2,0,0,112.2121
16,191.4182,0,2,0,0,111.6121
17,191.4182,0,2,0,0,111.0121
18,191.4182,0,2,0,0,110.4121
19,191.4182,0,2,0,0,109.8121
20,271.6208,0,3,0,0,109.213
21,271.6208,0,3,0,0,108.613
22,271.6208,0,3,0,0,107.413
23,271.6208,0,3,0,0,106.213
24,271.6208,0,3,0,0,105.013
25,271.6208,0,3,0,0,103.813
26,271.6208,0,3,0,0,102.613
27,271.6208,0,3,0,0,101.413
28,271.6208,0,3,0,0,100.213
29,271.6208,1,3,0,0,99.013
30,271.6208,1,3,0,0,97.8139
31,271.6208,0,3,0,0,96.6139
32,271.6208,0,3,0,0,95.4139
33,443.0372,0,5,0,0,94.686
34,443.0372,0,5,0,0,93.486
35,443.0372,0,5,0,0,91.986
36,443.0372,0,5,0,0,90.6178
37,540.1349,0,6,0,0,89.7836
38,540.1349,0,6,0,0,88.5836
39,540.1349,0,6,0,0,87.3836
40,637.2325,0,7,0,0,86.3154
41,637.2325,0,7,0,0,85.4154
42,637.2325,0,7,0,0,84.5154
43,637.2325,0,7,0,0,83.6812
44,637.2325,0,7,0,0,83.0812
45,637.2325,0,7,0,0,82.8216
46,637.2325,0,7,0,0,82.8216
47,637.2325,0,7,0,0,82.8216
48,637.2325,0,7,0,0,82.5216
49,637.2325,0,7,0,0,82.2216
50,637.2325,0,7,0,0,81.9216
51,637.2325,0,7,0,0,81.0216
52,637.2325,0,7,0,0,80.1216
53,637.2325,0,7,0,0,78.9216
54,637.2325,0,7,0,0,77.7216
55,729.4366,0,8,0,0,76.7897
56,729.4366,0,8,0,0,75.5897
57,816.9888,0,9,0,0,74.8404
58,816.9888,0,9,0,0,73.3404
59,909.7034,0,10,0,0,71.9119
60,909.7034,0,10,0,0,70.4119
61,909.7034,0,10,0,0,68.9119
62,909.7034,0,10,0,0,67.4119
63,1003.7438,0,11,0,0,66.3268
64,1003.7438,0,11,0,0,65.5775
65,1003.7438,0,11,0,0,64.9775
66,1003.7438,0,11,0,0,64.449
67,1003.7438,0,11,0,0,64.149
68,1003.7438,0,11,0,0,63.849
69,1003.7438,0,11,0,0,63.6958
70,1003.7438,0,11,0,0,63.6958
71,1003.7438,0,11,0,0,63.6958
72,1003.7438,0,11,0,0,63.6958
73,1003.7438,0,11,0,0,63.6958
74,1003.7438,0,11,0,0,63.6958
75,1003.7438,0,11,0,0,63.0958
76,1003.7438,0,11,0,0,62.4958
77,1003.7438,0,11,0,0,61.8958
78,1003.7438,0,11,0,0,61.2958
79,1003.7438,0,11,0,0,60.6958
80,1003.7438,0,11,0,0,60.0958
81,1003.7438,0,11,0,0,59.4958
82,1003.7438,0,11,0,0,58.8958
83,1003.7438,0,11,0,0,58.2958
84,1003.7438,0,11,0,0,57.6958
85,1003.7438,0,11,0,0,57.0958
86,1080.965,0,12,0,0,56.5362
87,1080.965,0,12,0,0,55.6362
