time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
0,released,28,pending,0,66,20,7.09,False,0.0,7.09,{},,,0.0,0,
0,assigned,28,assigned,0,66,20,7.09,False,0.0,7.09,{0: 7.09},0,0,0.0,0,
4,completed,28,completed,0,66,20,7.09,False,7.09,0.0,{},0,0,6.1381,4,4
8,released,29,pending,8,88,19,29.72,False,0.0,29.72,{},,,0.0,0,
8,assigned,29,assigned,8,88,19,29.72,False,0.0,29.72,{1: 29.72},1,8,0.0,0,
11,released,1,pending,11,41,17,120.45,True,0.0,120.45,{},,,0.0,0,
11,assigned,1,assigned,11,41,17,120.45,True,0.0,120.45,{0: 80.0},,11,0.0,0,
11,assigned,1,assigned,11,41,17,120.45,True,0.0,120.45,"{0: 80.0, 2: 40.45}",,11,0.0,0,
11,completed,29,completed,8,88,19,29.72,False,29.72,0.0,{},1,8,5.8317,3,11
20,partial_delivered,1,assigned,11,41,17,120.45,True,80.0,40.45,{2: 40.45},,11,14.9978,9,
20,completed,1,completed,11,41,17,120.45,True,120.45,0.0,{},,11,29.9956,9,20
22,released,4,pending,22,78,9,88.8,True,0.0,88.8,{},,,0.0,0,
22,assigned,4,assigned,22,78,9,88.8,True,0.0,88.8,{1: 80.0},,22,0.0,0,
22,assigned,4,assigned,22,78,9,88.8,True,0.0,88.8,"{1: 80.0, 3: 8.799999999999997}",,22,0.0,0,
29,released,6,pending,29,96,3,127.66,True,0.0,127.66,{},,,0.0,0,
31,assigned,6,assigned,29,96,3,127.66,True,0.0,127.66,{0: 80.0},,31,0.0,0,
31,assigned,6,assigned,29,96,3,127.66,True,0.0,127.66,"{0: 80.0, 2: 47.66}",,31,0.0,0,
33,partial_delivered,6,assigned,29,96,3,127.66,True,80.0,47.66,{2: 47.66},,31,4.1706,2,
33,partial_delivered,4,assigned,22,78,9,88.8,True,80.0,8.8,{3: 8.799999999999997},,22,17.149,11,
33,completed,6,completed,29,96,3,127.66,True,127.66,0.0,{},,31,8.3413,2,33
33,completed,4,completed,22,78,9,88.8,True,88.8,0.0,{},,22,34.298,11,33
35,released,22,pending,35,86,3,12.81,False,0.0,12.81,{},,,0.0,0,
35,assigned,22,assigned,35,86,3,12.81,False,0.0,12.81,{4: 12.81},4,35,0.0,0,
37,completed,22,completed,35,86,3,12.81,False,12.81,0.0,{},4,35,4.1706,2,37
38,released,15,pending,38,85,3,15.78,False,0.0,15.78,{},,,0.0,0,
38,assigned,15,assigned,38,85,3,15.78,False,0.0,15.78,{0: 15.78},0,38,0.0,0,
40,completed,15,completed,38,85,3,15.78,False,15.78,0.0,{},0,38,4.1706,2,40
48,released,26,pending,48,74,22,10.88,False,0.0,10.88,{},,,0.0,0,
