time,event_type,vehicle_id,node,battery,status,assigned_task,task_load,target_station,total_distance,total_score
0,dispatch,0,0,120.0,moving_to_task,28,7.09,,0.0,0.0
0,step,0,0,118.5,moving_to_task,28,7.09,,1.5,0.0
0,step,1,0,120.0,idle,,0.0,,0.0,0.0
0,step,2,0,120.0,idle,,0.0,,0.0,0.0
0,step,3,0,120.0,idle,,0.0,,0.0,0.0
0,step,4,0,120.0,idle,,0.0,,0.0,0.0
1,step,0,0,117.0,moving_to_task,28,7.09,,3.0,0.0
1,step,1,0,120.0,idle,,0.0,,0.0,0.0
1,step,2,0,120.0,idle,,0.0,,0.0,0.0
1,step,3,0,120.0,idle,,0.0,,0.0,0.0
1,step,4,0,120.0,idle,,0.0,,0.0,0.0
2,step,0,0,115.5,moving_to_task,28,7.09,,4.5,0.0
2,step,1,0,120.0,idle,,0.0,,0.0,0.0
2,step,2,0,120.0,idle,,0.0,,0.0,0.0
2,step,3,0,120.0,idle,,0.0,,0.0,0.0
2,step,4,0,120.0,idle,,0.0,,0.0,0.0
3,step,0,0,114.0,moving_to_task,28,7.09,,6.0,0.0
3,step,1,0,120.0,idle,,0.0,,0.0,0.0
3,step,2,0,120.0,idle,,0.0,,0.0,0.0
3,step,3,0,120.0,idle,,0.0,,0.0,0.0
3,step,4,0,120.0,idle,,0.0,,0.0,0.0
4,task_finish,0,20,113.8619,moving_to_task,,0.0,,6.1381,95.5172
4,move_to_depot,0,20,113.8619,moving_to_depot,,0.0,,6.1381,95.5172
4,step,0,20,113.8619,moving_to_depot,,0.0,,6.1381,95.5172
4,step,1,0,120.0,idle,,0.0,,0.0,0.0
4,step,2,0,120.0,idle,,0.0,,0.0,0.0
4,step,3,0,120.0,idle,,0.0,,0.0,0.0
4,step,4,0,120.0,idle,,0.0,,0.0,0.0
5,step,0,20,112.3619,moving_to_depot,,0.0,,7.6381,95.5172
5,step,1,0,120.0,idle,,0.0,,0.0,0.0
5,step,2,0,120.0,idle,,0.0,,0.0,0.0
5,step,3,0,120.0,idle,,0.0,,0.0,0.0
5,step,4,0,120.0,idle,,0.0,,0.0,0.0
6,step,0,20,110.8619,moving_to_depot,,0.0,,9.1381,95.5172
6,step,1,0,120.0,idle,,0.0,,0.0,0.0
6,step,2,0,120.0,idle,,0.0,,0.0,0.0
6,step,3,0,120.0,idle,,0.0,,0.0,0.0
6,step,4,0,120.0,idle,,0.0,,0.0,0.0
7,step,0,20,109.3619,moving_to_depot,,0.0,,10.6381,95.5172
7,step,1,0,120.0,idle,,0.0,,0.0,0.0
7,step,2,0,120.0,idle,,0.0,,0.0,0.0
7,step,3,0,120.0,idle,,0.0,,0.0,0.0
7,step,4,0,120.0,idle,,0.0,,0.0,0.0
8,dispatch,1,0,120.0,moving_to_task,29,29.72,,0.0,0.0
8,step,0,20,107.8619,moving_to_depot,,0.0,,12.1381,95.5172
8,step,1,0,118.5,moving_to_task,29,29.72,,1.5,0.0
8,step,2,0,120.0,idle,,0.0,,0.0,0.0
8,step,3,0,120.0,idle,,0.0,,0.0,0.0
8,step,4,0,120.0,idle,,0.0,,0.0,0.0
9,reach_depot,0,0,107.7239,idle,,0.0,,12.2761,95.5172
9,step,0,0,107.7239,idle,,0.0,,12.2761,95.5172
9,step,1,0,117.0,moving_to_task,29,29.72,,3.0,0.0
9,step,2,0,120.0,idle,,0.0,,0.0,0.0
9,step,3,0,120.0,idle,,0.0,,0.0,0.0
9,step,4,0,120.0,idle,,0.0,,0.0,0.0
10,step,0,0,107.7239,idle,,0.0,,12.2761,95.5172
10,step,1,0,115.5,moving_to_task,29,29.72,,4.5,0.0
10,step,2,0,120.0,idle,,0.0,,0.0,0.0
10,step,3,0,120.0,idle,,0.0,,0.0,0.0
10,step,4,0,120.0,idle,,0.0,,0.0,0.0
11,dispatch,0,0,107.7239,moving_to_task,1,80.0,,12.2761,95.5172
11,dispatch,2,0,120.0,moving_to_task,1,40.45,,0.0,0.0
11,task_finish,1,19,114.1683,moving_to_task,,0.0,,5.8317,95.901
11,move_to_depot,1,19,114.1683,moving_to_depot,,0.0,,5.8317,95.901
11,step,0,0,106.2239,moving_to_task,1,80.0,,13.7761,95.5172
11,step,1,19,114.1683,moving_to_depot,,0.0,,5.8317,95.901
11,step,2,0,118.5,moving_to_task,1,40.45,,1.5,0.0
11,step,3,0,120.0,idle,,0.0,,0.0,0.0
11,step,4,0,120.0,idle,,0.0,,0.0,0.0
12,step,0,0,104.7239,moving_to_task,1,80.0,,15.2761,95.5172
12,step,1,19,112.6683,moving_to_depot,,0.0,,7.3317,95.901
12,step,2,0,117.0,moving_to_task,1,40.45,,3.0,0.0
12,step,3,0,120.0,idle,,0.0,,0.0,0.0
12,step,4,0,120.0,idle,,0.0,,0.0,0.0
13,step,0,3,103.2239,moving_to_task,1,80.0,,16.7761,95.5172
13,step,1,19,111.1683,moving_to_depot,,0.0,,8.8317,95.901
13,step,2,3,115.5,moving_to_task,1,40.45,,4.5,0.0
13,step,3,0,120.0,idle,,0.0,,0.0,0.0
13,step,4,0,120.0,idle,,0.0,,0.0,0.0
14,step,0,3,101.7239,moving_to_task,1,80.0,,18.2761,95.5172
14,step,1,19,109.6683,moving_to_depot,,0.0,,10.3317,95.901
14,step,2,3,114.0,moving_to_task,1,40.45,,6.0,0.0
14,step,3,0,120.0,idle,,0.0,,0.0,0.0
14,step,4,0,120.0,idle,,0.0,,0.0,0.0
15,reach_depot,1,0,108.3367,idle,,0.0,,11.6633,95.901
15,step,0,21,100.2239,moving_to_task,1,80.0,,19.7761,95.5172
15,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
15,step,2,21,112.5,moving_to_task,1,40.45,,7.5,0.0
15,step,3,0,120.0,idle,,0.0,,0.0,0.0
15,step,4,0,120.0,idle,,0.0,,0.0,0.0
16,step,0,21,98.7239,moving_to_task,1,80.0,,21.2761,95.5172
16,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
16,step,2,21,111.0,moving_to_task,1,40.45,,9.0,0.0
16,step,3,0,120.0,idle,,0.0,,0.0,0.0
16,step,4,0,120.0,idle,,0.0,,0.0,0.0
17,step,0,21,97.2239,moving_to_task,1,80.0,,22.7761,95.5172
17,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
17,step,2,21,109.5,moving_to_task,1,40.45,,10.5,0.0
17,step,3,0,120.0,idle,,0.0,,0.0,0.0
