time,event_type,task_id,status,release_time,deadline,origin_node,weight,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
2,released,49,pending,2,72,8532632140,18.73,,,0.0,0,
2,assigned,49,assigned,2,72,8532632140,18.73,0,2,0.0,0,
3,released,55,pending,3,46,8567027670,9.6,,,0.0,0,
3,assigned,55,assigned,3,46,8567027670,9.6,1,3,0.0,0,
5,completed,49,completed,2,72,8532632140,18.73,0,2,5.2173,3,5
10,released,6,pending,10,79,4623746385,16.09,,,0.0,0,
10,assigned,6,assigned,10,79,4623746385,16.09,0,10,0.0,0,
11,released,50,pending,11,77,5237288865,25.05,,,0.0,0,
11,released,79,pending,11,75,4085227520,20.87,,,0.0,0,
11,assigned,50,assigned,11,77,5237288865,25.05,2,11,0.0,0,
11,assigned,79,assigned,11,75,4085227520,20.87,3,11,0.0,0,
16,completed,55,completed,3,46,8567027670,9.6,1,3,19.6871,13,16
18,released,86,pending,18,81,12185570762,10.26,,,0.0,0,
18,assigned,86,assigned,18,81,12185570762,10.26,4,18,0.0,0,
19,completed,50,completed,11,77,5237288865,25.05,2,11,12.5069,8,19
20,completed,6,completed,10,79,4623746385,16.09,0,10,15.6952,10,20
20,completed,79,completed,11,75,4085227520,20.87,3,11,14.4531,9,20
28,completed,86,completed,18,81,12185570762,10.26,4,18,15.7632,10,28
29,released,10,pending,29,75,4451903771,21.05,,,0.0,0,
29,assigned,10,assigned,29,75,4451903771,21.05,2,29,0.0,0,
33,released,88,pending,33,91,12917778952,4.31,,,0.0,0,
33,released,91,pending,33,64,8219717704,7.46,,,0.0,0,
33,assigned,91,assigned,33,64,8219717704,7.46,0,33,0.0,0,
33,assigned,88,assigned,33,91,12917778952,4.31,1,33,0.0,0,
35,released,31,pending,35,78,10000922056,3.76,,,0.0,0,
35,assigned,31,assigned,35,78,10000922056,3.76,3,35,0.0,0,
40,released,56,pending,40,112,5227127960,27.9,,,0.0,0,
40,assigned,56,assigned,40,112,5227127960,27.9,4,40,0.0,0,
41,completed,88,completed,33,91,12917778952,4.31,1,33,12.9101,8,41
41,completed,56,completed,40,112,5227127960,27.9,4,40,2.4259,1,41
42,released,84,pending,42,121,2964891370,19.96,,,0.0,0,
42,released,97,pending,42,75,13364306069,22.74,,,0.0,0,
42,assigned,97,assigned,42,75,13364306069,22.74,5,42,0.0,0,
42,assigned,84,assigned,42,121,2964891370,19.96,6,42,0.0,0,
42,completed,10,completed,29,75,4451903771,21.05,2,29,19.9978,13,42
43,released,32,pending,43,110,2463954810,23.16,,,0.0,0,
43,assigned,32,assigned,43,110,2463954810,23.16,7,43,0.0,0,
44,released,80,pending,44,75,6388027531,14.33,,,0.0,0,
44,assigned,80,assigned,44,75,6388027531,14.33,4,44,0.0,0,
44,completed,91,completed,33,64,8219717704,7.46,0,33,17.7828,11,44
46,completed,31,completed,35,78,10000922056,3.76,3,35,17.8333,11,46
49,released,17,pending,49,108,9481391590,10.1,,,0.0,0,
49,assigned,17,assigned,49,108,9481391590,10.1,8,49,0.0,0,
49,completed,84,completed,42,121,2964891370,19.96,6,42,11.1515,7,49
52,completed,97,completed,42,75,13364306069,22.74,5,42,15.3778,10,52
52,completed,32,completed,43,110,2463954810,23.16,7,43,14.1345,9,52
54,released,76,pending,54,129,2463956216,12.25,,,0.0,0,
54,assigned,76,assigned,54,129,2463956216,12.25,1,54,0.0,0,
55,released,61,pending,55,92,7086195527,11.73,,,0.0,0,
55,released,93,pending,55,83,1680627137,17.12,,,0.0,0,
55,released,117,pending,55,103,7427843365,2.15,,,0.0,0,
55,assigned,93,assigned,55,83,1680627137,17.12,9,55,0.0,0,
57,assigned,61,assigned,55,92,7086195527,11.73,0,57,0.0,0,
57,assigned,117,assigned,55,103,7427843365,2.15,2,57,0.0,0,
57,completed,17,completed,49,108,9481391590,10.1,8,49,12.8013,8,57
58,completed,80,completed,44,75,6388027531,14.33,4,44,21.35,14,58
61,released,37,pending,61,133,4972333844,11.19,,,0.0,0,
63,released,111,pending,63,106,5814541438,1.93,,,0.0,0,
63,assigned,111,assigned,63,106,5814541438,1.93,3,63,0.0,0,
