time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,119.85
7,0.0,0,0,0,0,119.7
8,0.0,0,0,0,0,119.55
9,0.0,0,0,0,0,119.25
10,0.0,0,0,0,0,118.95
11,0.0,0,0,0,0,118.65
12,0.0,0,0,0,0,118.2
13,0.0,0,0,0,0,117.75
14,0.0,0,0,0,0,117.0
15,0.0,0,0,0,0,116.1
16,88.1104,0,1,0,0,115.2017
17,88.1104,0,1,0,0,114.3017
18,88.1104,0,1,0,0,113.4017
19,180.2735,0,2,0,0,112.6289
20,180.2735,0,2,0,0,111.7289
21,359.9889,0,4,0,0,110.8982
22,359.9889,0,4,0,0,109.8482
23,359.9889,0,4,0,0,108.7982
24,448.5718,1,5,0,0,107.8286
25,448.5718,1,5,0,0,106.6286
26,448.5718,1,5,0,0,105.4286
27,448.5718,1,5,0,0,104.3575
28,540.2397,1,6,0,0,103.5895
29,540.2397,1,6,0,0,102.6895
30,540.2397,1,6,0,0,101.7895
31,621.2662,1,7,0,0,100.9939
32,621.2662,1,7,0,0,100.0939
33,621.2662,2,7,0,0,99.1939
34,621.2662,2,7,0,0,98.2759
35,621.2662,2,7,0,0,97.4563
36,621.2662,2,7,0,0,96.751
37,797.6595,2,9,0,0,95.8832
38,797.6595,2,9,0,0,94.8332
39,797.6595,2,9,0,0,93.7832
40,797.6595,2,9,0,0,92.7332
41,797.6595,2,9,0,0,91.6832
42,797.6595,2,9,0,0,90.6332
43,797.6595,2,9,0,0,89.5832
44,797.6595,2,9,0,0,88.3832
45,797.6595,2,9,0,0,87.1832
46,973.9392,2,11,0,0,86.2029
47,1063.2038,2,12,0,0,85.1636
48,1063.2038,2,12,0,0,84.1136
49,1063.2038,2,12,0,0,83.168
50,1156.2895,2,13,0,0,82.3748
51,1156.2895,2,13,0,0,81.6248
52,1156.2895,2,13,0,0,80.8748
53,1238.2392,2,14,0,0,80.0498
54,1238.2392,2,14,0,0,78.9998
55,1238.2392,2,14,0,0,77.9498
56,1238.2392,2,14,0,0,76.9738
57,1238.2392,2,14,0,0,75.8822
58,1238.2392,2,14,0,0,74.9822
59,1332.7021,2,15,0,0,74.3486
