time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
6,released,9,pending,6,83,8586539664,2.83,False,0.0,2.83,{},,,0.0,0,
6,assigned,9,assigned,6,83,8586539664,2.83,False,0.0,2.83,{0: 2.83},0,6,0.0,0,
9,released,15,pending,9,89,10740248846,17.79,False,0.0,17.79,{},,,0.0,0,
9,assigned,15,assigned,9,89,10740248846,17.79,False,0.0,17.79,{1: 17.79},1,9,0.0,0,
12,released,1,pending,12,82,2964891079,2.27,False,0.0,2.27,{},,,0.0,0,
12,assigned,1,assigned,12,82,2964891079,2.27,False,0.0,2.27,{2: 2.27},2,12,0.0,0,
14,released,0,pending,14,62,2702690560,28.91,False,0.0,28.91,{},,,0.0,0,
14,released,6,pending,14,87,4623746385,1.58,False,0.0,1.58,{},,,0.0,0,
14,assigned,6,assigned,14,87,4623746385,1.58,False,0.0,1.58,{3: 1.58},3,14,0.0,0,
14,assigned,0,assigned,14,62,2702690560,28.91,False,0.0,28.91,{4: 28.91},4,14,0.0,0,
15,released,2,pending,15,91,4339078688,29.97,False,0.0,29.97,{},,,0.0,0,
15,assigned,2,assigned,15,91,4339078688,29.97,False,0.0,29.97,{5: 29.97},5,15,0.0,0,
16,completed,9,completed,6,83,8586539664,2.83,False,2.83,0.0,{},0,6,16.4827,10,16
19,completed,1,completed,12,82,2964891079,2.27,False,2.27,0.0,{},2,12,10.7281,7,19
21,released,11,pending,21,61,7242985804,21.05,False,0.0,21.05,{},,,0.0,0,
21,assigned,11,assigned,21,61,7242985804,21.05,False,0.0,21.05,{6: 21.05},6,21,0.0,0,
21,completed,15,completed,9,89,10740248846,17.79,False,17.79,0.0,{},1,9,18.1804,12,21
21,completed,2,completed,15,91,4339078688,29.97,False,29.97,0.0,{},5,15,9.6272,6,21
24,released,8,pending,24,95,4574410222,4.3,False,0.0,4.3,{},,,0.0,0,
24,completed,6,completed,14,87,4623746385,1.58,False,1.58,0.0,{},3,14,15.6952,10,24
25,released,3,pending,25,91,7087863078,1.88,False,0.0,1.88,{},,,0.0,0,
25,assigned,3,assigned,25,91,7087863078,1.88,False,0.0,1.88,{7: 1.88},7,25,0.0,0,
28,completed,11,completed,21,61,7242985804,21.05,False,21.05,0.0,{},6,21,11.5534,7,28
29,released,4,pending,29,78,4095183690,15.35,False,0.0,15.35,{},,,0.0,0,
29,assigned,4,assigned,29,78,4095183690,15.35,False,0.0,15.35,{0: 15.35},0,29,0.0,0,
31,completed,0,completed,14,62,2702690560,28.91,False,28.91,0.0,{},4,14,25.956,17,31
33,released,7,pending,33,84,13097702568,14.76,False,0.0,14.76,{},,,0.0,0,
34,released,14,pending,34,61,4236935622,15.17,False,0.0,15.17,{},,,0.0,0,
34,assigned,14,assigned,34,61,4236935622,15.17,False,0.0,15.17,{2: 15.17},2,34,0.0,0,
37,released,13,pending,37,113,1955642600,5.12,False,0.0,5.12,{},,,0.0,0,
37,released,16,pending,37,90,5233481781,9.28,False,0.0,9.28,{},,,0.0,0,
37,assigned,16,assigned,37,90,5233481781,9.28,False,0.0,9.28,{1: 9.28},1,37,0.0,0,
37,assigned,13,assigned,37,113,1955642600,5.12,False,0.0,5.12,{3: 5.12},3,37,0.0,0,
37,completed,4,completed,29,78,4095183690,15.35,False,15.35,0.0,{},0,29,13.2694,8,37
37,completed,3,completed,25,91,7087863078,1.88,False,1.88,0.0,{},7,25,19.4083,12,37
38,released,18,pending,38,69,5223312011,16.42,False,0.0,16.42,{},,,0.0,0,
38,assigned,18,assigned,38,69,5223312011,16.42,False,0.0,16.42,{5: 16.42},5,38,0.0,0,
44,released,19,pending,44,91,12662807866,28.55,False,0.0,28.55,{},,,0.0,0,
44,assigned,19,assigned,44,91,12662807866,28.55,False,0.0,28.55,{6: 28.55},6,44,0.0,0,
46,completed,16,completed,37,90,5233481781,9.28,False,9.28,0.0,{},1,37,14.2598,9,46
46,completed,14,completed,34,61,4236935622,15.17,False,15.17,0.0,{},2,34,18.2741,12,46
47,completed,18,completed,38,69,5223312011,16.42,False,16.42,0.0,{},5,38,14.8924,9,47
50,completed,19,completed,44,91,12662807866,28.55,False,28.55,0.0,{},6,44,9.5238,6,50
53,released,10,pending,53,102,1682276670,4.12,False,0.0,4.12,{},,,0.0,0,
53,assigned,10,assigned,53,102,1682276670,4.12,False,0.0,4.12,{0: 4.12},0,53,0.0,0,
53,completed,13,completed,37,113,1955642600,5.12,False,5.12,0.0,{},3,37,24.7504,16,53
54,released,17,pending,54,106,11942436169,4.91,False,0.0,4.91,{},,,0.0,0,
54,assigned,17,assigned,54,106,11942436169,4.91,False,0.0,4.91,{4: 4.91},4,54,0.0,0,
57,released,5,pending,57,135,7086195512,12.68,False,0.0,12.68,{},,,0.0,0,
57,released,12,pending,57,123,4327571234,15.99,False,0.0,15.99,{},,,0.0,0,
57,assigned,5,assigned,57,135,7086195512,12.68,False,0.0,12.68,{1: 12.68},1,57,0.0,0,
57,assigned,12,assigned,57,123,4327571234,15.99,False,0.0,15.99,{7: 15.99},7,57,0.0,0,
59,completed,17,completed,54,106,11942436169,4.91,False,4.91,0.0,{},4,54,7.5618,5,59
