time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
9,released,18,pending,9,64,4787373317,15.2,False,0.0,15.2,{},,,0.0,0,
9,assigned,18,assigned,9,64,4787373317,15.2,False,0.0,15.2,{0: 15.2},0,9,0.0,0,
11,released,0,pending,11,43,12753900120,10.7,False,0.0,10.7,{},,,0.0,0,
11,assigned,0,assigned,11,43,12753900120,10.7,False,0.0,10.7,{1: 10.7},1,11,0.0,0,
12,released,1,pending,12,68,13430926228,6.31,False,0.0,6.31,{},,,0.0,0,
12,released,16,pending,12,74,6854581437,16.49,False,0.0,16.49,{},,,0.0,0,
12,assigned,16,assigned,12,74,6854581437,16.49,False,0.0,16.49,{2: 16.49},2,12,0.0,0,
12,assigned,1,assigned,12,68,13430926228,6.31,False,0.0,6.31,{3: 6.31},3,12,0.0,0,
15,released,19,pending,15,81,8589262764,16.76,False,0.0,16.76,{},,,0.0,0,
15,assigned,19,assigned,15,81,8589262764,16.76,False,0.0,16.76,{4: 16.76},4,15,0.0,0,
15,completed,16,completed,12,74,6854581437,16.49,False,16.49,0.0,{},2,12,4.8579,3,15
15,completed,1,completed,12,68,13430926228,6.31,False,6.31,0.0,{},3,12,5.9127,3,15
17,completed,18,completed,9,64,4787373317,15.2,False,15.2,0.0,{},0,9,13.0858,8,17
17,completed,0,completed,11,43,12753900120,10.7,False,10.7,0.0,{},1,11,9.6009,6,17
18,released,2,pending,18,72,7087277726,6.69,False,0.0,6.69,{},,,0.0,0,
18,released,12,pending,18,73,4628916388,15.38,False,0.0,15.38,{},,,0.0,0,
18,assigned,2,assigned,18,72,7087277726,6.69,False,0.0,6.69,{5: 6.69},5,18,0.0,0,
18,assigned,12,assigned,18,73,4628916388,15.38,False,0.0,15.38,{6: 15.38},6,18,0.0,0,
19,released,8,pending,19,60,705816727,10.94,False,0.0,10.94,{},,,0.0,0,
19,assigned,8,assigned,19,60,705816727,10.94,False,0.0,10.94,{7: 10.94},7,19,0.0,0,
21,released,17,pending,21,96,12918749506,3.57,False,0.0,3.57,{},,,0.0,0,
21,assigned,17,assigned,21,96,12918749506,3.57,False,0.0,3.57,{2: 3.57},2,21,0.0,0,
25,released,9,pending,25,64,11701102943,16.6,False,0.0,16.6,{},,,0.0,0,
25,assigned,9,assigned,25,64,11701102943,16.6,False,0.0,16.6,{1: 16.6},1,25,0.0,0,
26,completed,2,completed,18,72,7087277726,6.69,False,6.69,0.0,{},5,18,12.2879,8,26
27,completed,17,completed,21,96,12918749506,3.57,False,3.57,0.0,{},2,21,9.1232,6,27
27,completed,12,completed,18,73,4628916388,15.38,False,15.38,0.0,{},6,18,13.7672,9,27
27,completed,8,completed,19,60,705816727,10.94,False,10.94,0.0,{},7,19,12.3918,8,27
28,completed,9,completed,25,64,11701102943,16.6,False,16.6,0.0,{},1,25,5.0203,3,28
32,released,15,pending,32,87,4084888936,27.46,False,0.0,27.46,{},,,0.0,0,
32,assigned,15,assigned,32,87,4084888936,27.46,False,0.0,27.46,{0: 27.46},0,32,0.0,0,
34,completed,15,completed,32,87,4084888936,27.46,False,27.46,0.0,{},0,32,4.2926,2,34
34,completed,19,completed,15,81,8589262764,16.76,False,16.76,0.0,{},4,15,29.1273,19,34
37,released,10,pending,37,98,7234419850,24.94,False,0.0,24.94,{},,,0.0,0,
37,assigned,10,assigned,37,98,7234419850,24.94,False,0.0,24.94,{1: 24.94},1,37,0.0,0,
38,released,11,pending,38,108,8261281092,17.0,False,0.0,17.0,{},,,0.0,0,
38,assigned,11,assigned,38,108,8261281092,17.0,False,0.0,17.0,{0: 17.0},0,38,0.0,0,
40,completed,10,completed,37,98,7234419850,24.94,False,24.94,0.0,{},1,37,5.0507,3,40
41,released,14,pending,41,109,12630007750,4.81,False,0.0,4.81,{},,,0.0,0,
41,assigned,14,assigned,41,109,12630007750,4.81,False,0.0,4.81,{2: 4.81},2,41,0.0,0,
43,released,4,pending,43,116,5223314094,26.11,False,0.0,26.11,{},,,0.0,0,
43,assigned,4,assigned,43,116,5223314094,26.11,False,0.0,26.11,{3: 26.11},3,43,0.0,0,
43,completed,11,completed,38,108,8261281092,17.0,False,17.0,0.0,{},0,38,8.8127,5,43
44,completed,14,completed,41,109,12630007750,4.81,False,4.81,0.0,{},2,41,4.9423,3,44
47,released,6,pending,47,95,5261426236,24.5,False,0.0,24.5,{},,,0.0,0,
47,assigned,6,assigned,47,95,5261426236,24.5,False,0.0,24.5,{1: 24.5},1,47,0.0,0,
50,released,13,pending,50,115,4928971389,6.51,False,0.0,6.51,{},,,0.0,0,
51,released,5,pending,51,91,1996234813,7.88,False,0.0,7.88,{},,,0.0,0,
51,assigned,5,assigned,51,91,1996234813,7.88,False,0.0,7.88,{0: 7.88},0,51,0.0,0,
52,completed,4,completed,43,116,5223314094,26.11,False,26.11,0.0,{},3,43,14.1142,9,52
55,completed,6,completed,47,95,5261426236,24.5,False,24.5,0.0,{},1,47,13.0808,8,55
57,released,3,pending,57,126,12237341877,10.41,False,0.0,10.41,{},,,0.0,0,
57,released,7,pending,57,137,13430920000,7.27,False,0.0,7.27,{},,,0.0,0,
57,assigned,7,assigned,57,137,13430920000,7.27,False,0.0,7.27,{2: 7.27},2,57,0.0,0,
57,assigned,3,assigned,57,126,12237341877,10.41,False,0.0,10.41,{4: 10.41},4,57,0.0,0,
57,completed,5,completed,51,91,1996234813,7.88,False,7.88,0.0,{},0,51,9.0261,6,57
