time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,120.0
7,0.0,0,0,0,0,120.0
8,0.0,0,0,0,0,120.0
9,0.0,0,0,0,0,119.7
10,0.0,0,0,0,0,119.4
11,0.0,0,0,0,0,118.8
12,0.0,0,0,0,0,117.6
13,0.0,0,0,0,0,116.4
14,0.0,0,0,0,0,115.2
15,192.3377,0,2,0,0,113.9459
16,192.3377,0,2,0,0,112.4459
17,375.9256,0,4,0,0,111.2085
18,375.9256,2,4,0,0,109.7085
19,375.9256,3,4,0,0,108.4544
20,375.9256,1,4,0,0,106.9544
21,375.9256,2,4,0,0,105.4544
22,375.9256,2,4,0,0,103.9544
23,375.9256,2,4,0,0,102.4544
24,375.9256,2,4,0,0,101.1343
25,375.9256,2,4,0,0,99.6343
26,375.9256,2,4,0,0,98.2171
27,375.9256,1,4,0,0,96.7171
28,653.7056,1,7,0,0,95.8771
29,653.7056,1,7,0,0,94.3771
30,653.7056,1,7,0,0,92.8771
31,653.7056,1,7,0,0,91.3771
32,653.7056,2,7,0,0,90.073
33,745.8317,1,8,0,0,88.8484
34,824.5554,1,9,0,0,87.5229
35,921.3798,1,10,0,0,86.0644
36,921.3798,1,10,0,0,84.5644
37,921.3798,2,10,0,0,83.5285
38,921.3798,1,10,0,0,82.0699
39,921.3798,0,10,0,0,80.5699
40,921.3798,0,10,0,0,79.3453
41,1017.5494,0,11,0,0,78.0352
42,1017.5494,0,11,0,0,76.5352
43,1111.2617,1,12,0,0,75.0726
44,1207.6964,1,13,0,0,73.7842
45,1207.6964,1,13,0,0,72.474
46,1207.6964,0,13,0,0,70.974
47,1207.6964,1,13,0,0,69.474
48,1293.4361,1,14,0,0,68.4321
49,1293.4361,0,14,0,0,66.9696
50,1293.4361,1,14,0,0,65.7696
51,1293.4361,1,14,0,0,64.2696
52,1293.4361,1,14,0,0,62.7696
53,1293.4361,1,14,0,0,61.2696
54,1293.4361,1,14,0,0,59.9441
55,1382.5675,1,15,0,0,58.9213
56,1382.5675,1,15,0,0,57.7213
57,1566.1034,2,17,0,0,56.5999
58,1566.1034,2,17,0,0,55.3465
59,1566.1034,1,17,0,0,53.8465
