time,event_type,vehicle_id,node,battery,status,assigned_task,target_station,total_distance,total_score
0,step,0,1347774990,120.0,idle,,,0.0,0.0
0,step,1,1347774990,120.0,idle,,,0.0,0.0
0,step,2,1347774990,120.0,idle,,,0.0,0.0
0,step,3,1347774990,120.0,idle,,,0.0,0.0
0,step,4,1347774990,120.0,idle,,,0.0,0.0
1,step,0,1347774990,120.0,idle,,,0.0,0.0
1,step,1,1347774990,120.0,idle,,,0.0,0.0
1,step,2,1347774990,120.0,idle,,,0.0,0.0
1,step,3,1347774990,120.0,idle,,,0.0,0.0
1,step,4,1347774990,120.0,idle,,,0.0,0.0
2,step,0,1347774990,120.0,idle,,,0.0,0.0
2,step,1,1347774990,120.0,idle,,,0.0,0.0
2,step,2,1347774990,120.0,idle,,,0.0,0.0
2,step,3,1347774990,120.0,idle,,,0.0,0.0
2,step,4,1347774990,120.0,idle,,,0.0,0.0
3,step,0,1347774990,120.0,idle,,,0.0,0.0
3,step,1,1347774990,120.0,idle,,,0.0,0.0
3,step,2,1347774990,120.0,idle,,,0.0,0.0
3,step,3,1347774990,120.0,idle,,,0.0,0.0
3,step,4,1347774990,120.0,idle,,,0.0,0.0
4,step,0,1347774990,120.0,idle,,,0.0,0.0
4,step,1,1347774990,120.0,idle,,,0.0,0.0
4,step,2,1347774990,120.0,idle,,,0.0,0.0
4,step,3,1347774990,120.0,idle,,,0.0,0.0
4,step,4,1347774990,120.0,idle,,,0.0,0.0
5,step,0,1347774990,120.0,idle,,,0.0,0.0
5,step,1,1347774990,120.0,idle,,,0.0,0.0
5,step,2,1347774990,120.0,idle,,,0.0,0.0
5,step,3,1347774990,120.0,idle,,,0.0,0.0
5,step,4,1347774990,120.0,idle,,,0.0,0.0
6,step,0,1347774990,120.0,idle,,,0.0,0.0
6,step,1,1347774990,120.0,idle,,,0.0,0.0
6,step,2,1347774990,120.0,idle,,,0.0,0.0
6,step,3,1347774990,120.0,idle,,,0.0,0.0
6,step,4,1347774990,120.0,idle,,,0.0,0.0
7,step,0,1347774990,120.0,idle,,,0.0,0.0
7,step,1,1347774990,120.0,idle,,,0.0,0.0
7,step,2,1347774990,120.0,idle,,,0.0,0.0
7,step,3,1347774990,120.0,idle,,,0.0,0.0
7,step,4,1347774990,120.0,idle,,,0.0,0.0
8,step,0,1347774990,120.0,idle,,,0.0,0.0
8,step,1,1347774990,120.0,idle,,,0.0,0.0
